Country,Year,Status,Life expectancy,Population,Alcohol,Polio, HIV/AIDS
Afghanistan,2015,Developing,65.0,33736494.0,0.01,6.0,0.1
Afghanistan,2014,Developing,59.9,327582.0,0.01,58.0,0.1
Afghanistan,2013,Developing,59.9,31731688.0,0.01,62.0,0.1
Afghanistan,2012,Developing,59.5,3696958.0,0.01,67.0,0.1
Afghanistan,2011,Developing,59.2,2978599.0,0.01,68.0,0.1
Afghanistan,2010,Developing,58.8,2883167.0,0.01,66.0,0.1
Afghanistan,2009,Developing,58.6,284331.0,0.01,63.0,0.1
Afghanistan,2008,Developing,58.1,2729431.0,0.03,64.0,0.1
Afghanistan,2007,Developing,57.5,26616792.0,0.02,63.0,0.1
Afghanistan,2006,Developing,57.3,2589345.0,0.03,58.0,0.1
Afghanistan,2005,Developing,57.3,257798.0,0.02,58.0,0.1
Afghanistan,2004,Developing,57.0,24118979.0,0.02,5.0,0.1
Afghanistan,2003,Developing,56.7,2364851.0,0.01,41.0,0.1
Afghanistan,2002,Developing,56.2,21979923.0,0.01,36.0,0.1
Afghanistan,2001,Developing,55.3,2966463.0,0.01,35.0,0.1
Afghanistan,2000,Developing,54.8,293756.0,0.01,24.0,0.1
Albania,2015,Developing,77.8,28873.0,4.6,99.0,0.1
Albania,2014,Developing,77.5,288914.0,4.51,98.0,0.1
Albania,2013,Developing,77.2,289592.0,4.76,99.0,0.1
Albania,2012,Developing,76.9,2941.0,5.14,99.0,0.1
Albania,2011,Developing,76.6,295195.0,5.37,99.0,0.1
Albania,2010,Developing,76.2,291321.0,5.28,99.0,0.1
Albania,2009,Developing,76.1,2927519.0,5.79,98.0,0.1
Albania,2008,Developing,75.3,2947314.0,5.61,99.0,0.1
Albania,2007,Developing,75.9,29717.0,5.58,99.0,0.1
Albania,2006,Developing,74.2,2992547.0,5.31,97.0,0.1
Albania,2005,Developing,73.5,311487.0,5.16,97.0,0.1
Albania,2004,Developing,73.0,326939.0,4.54,98.0,0.1
Albania,2003,Developing,72.8,339616.0,4.29,97.0,0.1
Albania,2002,Developing,73.3,3511.0,3.73,98.0,0.1
Albania,2001,Developing,73.6,36173.0,4.25,97.0,0.1
Albania,2000,Developing,72.6,38927.0,3.66,97.0,0.1
Algeria,2014,Developing,75.4,39113313.0,0.01,95.0,0.1
Algeria,2013,Developing,75.3,38338562.0,0.53,95.0,0.1
Algeria,2012,Developing,75.1,37565847.0,0.66,95.0,0.1
Algeria,2011,Developing,74.9,36819558.0,0.56,95.0,0.1
Algeria,2010,Developing,74.7,36117637.0,0.45,95.0,0.1
Algeria,2009,Developing,74.4,3546576.0,0.5,94.0,0.1
Algeria,2008,Developing,74.1,3486715.0,0.46,92.0,0.1
Algeria,2007,Developing,73.8,34376.0,0.44,95.0,0.1
Algeria,2006,Developing,73.4,33777915.0,0.36,95.0,0.1
Algeria,2005,Developing,72.9,33288437.0,0.5,88.0,0.1
Algeria,2004,Developing,72.3,3283196.0,0.45,86.0,0.1
Algeria,2003,Developing,71.7,3243514.0,0.34,87.0,0.1
Algeria,2002,Developing,71.6,3199546.0,0.36,86.0,0.1
Algeria,2001,Developing,71.4,31592153.0,0.23,89.0,0.1
Algeria,2000,Developing,71.3,3118366.0,0.25,86.0,0.1
Angola,2014,Developing,51.7,2692466.0,8.33,68.0,2.0
Angola,2013,Developing,51.1,2599834.0,8.1,67.0,2.3
Angola,2012,Developing,56.0,259615.0,8.24,75.0,2.6
Angola,2011,Developing,51.0,24218565.0,8.06,73.0,2.5
Angola,2010,Developing,49.6,23369131.0,7.8,81.0,2.5
Angola,2009,Developing,49.1,22549547.0,7.01,63.0,2.5
Angola,2008,Developing,48.7,2175942.0,7.07,65.0,2.6
Angola,2007,Developing,48.2,2997687.0,6.35,75.0,2.6
Angola,2006,Developing,47.7,2262399.0,5.84,36.0,2.5
Angola,2005,Developing,47.4,19552542.0,5.04,39.0,2.6
Angola,2004,Developing,47.1,18865716.0,3.53,4.0,2.5
Angola,2003,Developing,46.8,1823369.0,3.49,4.0,2.4
Angola,2002,Developing,46.5,17572649.0,2.82,37.0,2.3
